Filename,Real_Label,Predicted_Label,Is_Correct
5_lucas_39.wav,5,7,0
8_george_40.wav,8,8,1
9_jackson_11.wav,9,9,1
4_jackson_47.wav,4,4,1
2_theo_20.wav,2,2,1
9_nicolas_16.wav,9,9,1
7_yweweler_41.wav,7,7,1
7_jackson_43.wav,7,7,1
5_jackson_5.wav,5,7,0
6_theo_17.wav,6,2,0
9_lucas_0.wav,9,9,1
1_theo_48.wav,1,1,1
2_george_0.wav,2,2,1
3_nicolas_23.wav,3,2,0
4_jackson_1.wav,4,4,1
2_jackson_49.wav,2,2,1
3_nicolas_24.wav,3,2,0
9_yweweler_43.wav,9,9,1
8_george_16.wav,8,8,1
5_yweweler_3.wav,5,5,1
8_theo_2.wav,8,8,1
9_lucas_46.wav,9,9,1
8_theo_48.wav,8,2,0
4_yweweler_2.wav,4,4,1
2_george_18.wav,2,2,1
9_lucas_42.wav,9,9,1
7_nicolas_46.wav,7,7,1
1_nicolas_41.wav,1,1,1
2_jackson_22.wav,2,2,1
2_yweweler_21.wav,2,2,1
7_yweweler_31.wav,7,7,1
4_jackson_28.wav,4,4,1
4_theo_26.wav,4,4,1
7_nicolas_20.wav,7,7,1
4_jackson_45.wav,4,4,1
4_yweweler_46.wav,4,4,1
4_yweweler_18.wav,4,4,1
6_theo_28.wav,6,6,1
7_lucas_15.wav,7,7,1
5_theo_49.wav,5,5,1
3_jackson_25.wav,3,3,1
4_yweweler_13.wav,4,4,1
7_lucas_44.wav,7,7,1
4_jackson_11.wav,4,4,1
6_jackson_23.wav,6,6,1
2_theo_28.wav,2,2,1
3_george_29.wav,3,3,1
4_george_44.wav,4,4,1
2_yweweler_2.wav,2,2,1
7_yweweler_46.wav,7,7,1
1_yweweler_36.wav,1,9,0
6_nicolas_30.wav,6,6,1
6_george_33.wav,6,6,1
4_nicolas_48.wav,4,4,1
1_george_48.wav,1,1,1
7_theo_44.wav,7,7,1
2_george_32.wav,2,2,1
7_theo_30.wav,7,7,1
8_jackson_15.wav,8,8,1
7_lucas_35.wav,7,9,0
9_lucas_3.wav,9,9,1
2_yweweler_16.wav,2,3,0
2_george_47.wav,2,2,1
9_nicolas_32.wav,9,9,1
3_theo_36.wav,3,3,1
4_nicolas_34.wav,4,4,1
4_jackson_37.wav,4,4,1
8_lucas_48.wav,8,8,1
7_george_23.wav,7,6,0
1_lucas_25.wav,1,4,0
6_george_23.wav,6,6,1
5_george_34.wav,5,5,1
5_lucas_3.wav,5,5,1
7_theo_15.wav,7,7,1
8_yweweler_44.wav,8,6,0
8_george_12.wav,8,8,1
8_jackson_2.wav,8,8,1
6_theo_5.wav,6,6,1
2_yweweler_24.wav,2,2,1
3_nicolas_25.wav,3,3,1
6_george_18.wav,6,8,0
2_jackson_40.wav,2,3,0
4_george_39.wav,4,4,1
6_lucas_39.wav,6,6,1
7_theo_39.wav,7,7,1
3_jackson_27.wav,3,3,1
7_george_18.wav,7,7,1
7_nicolas_38.wav,7,7,1
3_nicolas_35.wav,3,3,1
4_yweweler_37.wav,4,4,1
5_lucas_5.wav,5,5,1
3_lucas_21.wav,3,8,0
1_jackson_22.wav,1,1,1
7_lucas_2.wav,7,7,1
5_george_6.wav,5,9,0
7_jackson_38.wav,7,7,1
7_yweweler_20.wav,7,6,0
6_george_6.wav,6,6,1
4_theo_1.wav,4,4,1
8_yweweler_49.wav,8,6,0
6_yweweler_11.wav,6,6,1
6_lucas_36.wav,6,6,1
9_lucas_15.wav,9,9,1
1_lucas_36.wav,1,5,0
7_lucas_1.wav,7,7,1
9_nicolas_47.wav,9,9,1
2_yweweler_3.wav,2,2,1
1_nicolas_28.wav,1,7,0
2_lucas_1.wav,2,2,1
9_jackson_19.wav,9,9,1
6_nicolas_34.wav,6,8,0
6_lucas_29.wav,6,6,1
2_theo_25.wav,2,2,1
7_jackson_16.wav,7,7,1
5_yweweler_11.wav,5,5,1
5_nicolas_11.wav,5,1,0
3_george_6.wav,3,3,1
9_theo_47.wav,9,5,0
5_theo_13.wav,5,5,1
2_lucas_36.wav,2,2,1
8_jackson_43.wav,8,8,1
2_george_23.wav,2,2,1
7_lucas_7.wav,7,7,1
5_theo_45.wav,5,5,1
2_lucas_40.wav,2,2,1
5_theo_39.wav,5,9,0
4_lucas_20.wav,4,1,0
8_george_1.wav,8,8,1
3_theo_33.wav,3,3,1
7_yweweler_8.wav,7,7,1
7_jackson_46.wav,7,7,1
3_jackson_17.wav,3,3,1
7_jackson_42.wav,7,7,1
8_jackson_28.wav,8,2,0
5_yweweler_27.wav,5,5,1
6_jackson_42.wav,6,6,1
7_yweweler_29.wav,7,7,1
6_jackson_37.wav,6,6,1
5_nicolas_26.wav,5,5,1
7_jackson_19.wav,7,7,1
7_jackson_36.wav,7,9,0
4_george_14.wav,4,4,1
9_george_6.wav,9,5,0
6_theo_43.wav,6,6,1
9_george_39.wav,9,9,1
5_nicolas_32.wav,5,5,1
4_nicolas_31.wav,4,4,1
6_lucas_21.wav,6,3,0
4_nicolas_0.wav,4,4,1
4_jackson_35.wav,4,4,1
2_yweweler_17.wav,2,2,1
4_nicolas_42.wav,4,4,1
4_theo_20.wav,4,4,1
6_theo_45.wav,6,6,1
4_yweweler_19.wav,4,4,1
6_theo_8.wav,6,6,1
7_lucas_10.wav,7,7,1
6_yweweler_7.wav,6,3,0
8_theo_19.wav,8,8,1
5_jackson_9.wav,5,1,0
3_lucas_10.wav,3,2,0
7_lucas_20.wav,7,7,1
9_theo_12.wav,9,9,1
2_nicolas_38.wav,2,2,1
1_jackson_34.wav,1,1,1
5_yweweler_4.wav,5,5,1
2_theo_27.wav,2,2,1
5_theo_24.wav,5,5,1
8_lucas_0.wav,8,6,0
7_yweweler_21.wav,7,7,1
4_lucas_40.wav,4,4,1
6_jackson_10.wav,6,6,1
3_yweweler_40.wav,3,8,0
9_yweweler_14.wav,9,9,1
9_lucas_6.wav,9,9,1
2_george_44.wav,2,2,1
5_theo_31.wav,5,1,0
2_george_46.wav,2,2,1
8_lucas_40.wav,8,8,1
3_theo_45.wav,3,2,0
6_nicolas_9.wav,6,8,0
8_theo_15.wav,8,8,1
1_yweweler_20.wav,1,1,1
3_lucas_19.wav,3,3,1
3_lucas_4.wav,3,2,0
4_yweweler_9.wav,4,4,1
8_jackson_12.wav,8,8,1
9_lucas_14.wav,9,9,1
4_george_19.wav,4,4,1
6_theo_46.wav,6,6,1
3_theo_16.wav,3,3,1
2_theo_4.wav,2,2,1
8_jackson_38.wav,8,8,1
7_yweweler_45.wav,7,7,1
2_george_10.wav,2,2,1
3_theo_46.wav,3,2,0
5_lucas_4.wav,5,5,1
5_lucas_16.wav,5,5,1
5_yweweler_39.wav,5,5,1
5_lucas_42.wav,5,7,0
5_jackson_47.wav,5,5,1
6_lucas_33.wav,6,6,1
3_yweweler_23.wav,3,2,0
9_lucas_47.wav,9,9,1
4_jackson_33.wav,4,4,1
9_jackson_48.wav,9,9,1
2_yweweler_40.wav,2,1,0
4_theo_46.wav,4,4,1
2_theo_24.wav,2,2,1
1_yweweler_44.wav,1,1,1
1_theo_14.wav,1,1,1
5_george_8.wav,5,9,0
5_yweweler_12.wav,5,5,1
3_jackson_41.wav,3,3,1
8_yweweler_30.wav,8,6,0
5_lucas_26.wav,5,5,1
7_yweweler_22.wav,7,7,1
7_lucas_6.wav,7,5,0
1_jackson_37.wav,1,1,1
9_nicolas_22.wav,9,9,1
1_jackson_4.wav,1,1,1
1_nicolas_46.wav,1,1,1
4_jackson_25.wav,4,4,1
4_theo_32.wav,4,4,1
7_jackson_10.wav,7,7,1
1_george_40.wav,1,1,1
